Genome,ID,Start,Stop,Size (nt),Strand,Function
Acaryochloris marina (strain MBIC 11017),B0CEM4,1054219,1054365,144,+,YHS; InterPro=IPR007029
Acaryochloris marina (strain MBIC 11017),B0CEM5,1054363,1054672,308,-,none; InterPro=IPR011990
Acaryochloris marina (strain MBIC 11017),B0CEM6,1054702,1054857,153,-,DUF4272; InterPro=IPR025368
Acaryochloris marina (strain MBIC 11017),B0CEM7,1054922,1055079,155,-,Cupin_2; InterPro=IPR014710; IPR013096; IPR051610; IPR011051
Acaryochloris marina (strain MBIC 11017),B0CEM8,1055106,1055203,95,+,none
Acaryochloris marina (strain MBIC 11017),B0CEM9,1055238,1055407,167,+,DUF1499; InterPro=IPR010865
Acaryochloris marina (strain MBIC 11017),B0CEN0,1055422,1055794,370,+,Phytase; like; InterPro=IPR027372
Acaryochloris marina (strain MBIC 11017),B0CEN1,1055795,1056020,223,-,Peptidase_S26; InterPro=IPR019533; IPR000223; IPR036286
Acaryochloris marina (strain MBIC 11017),B0CEN2,1056060,1056263,201,-,Peptidase_S26; InterPro=IPR019533; IPR000223; IPR036286
Acaryochloris marina (strain MBIC 11017),B0CEN3,1056287,1056326,38,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN4,1056345,1056906,560,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acaryochloris marina (strain MBIC 11017),B0CEN5,1056930,1057381,449,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN6,1057449,1057876,425,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN7,1058227,1058727,498,+,NB; ARC; InterPro=IPR027417; IPR002182
Acaryochloris marina (strain MBIC 11017),B0CEN8,1058722,1058860,136,-,4HBT_2; InterPro=IPR022829; IPR050563; IPR029069
Acaryochloris marina (strain MBIC 11017),B0CEN9,1058892,1059182,288,-,none
Acaryochloris marina (strain MBIC 11017),B0CEP0,1059256,1059397,140,+,Glyoxalase; InterPro=IPR029068; IPR004360; IPR037523; IPR051332
Acaryochloris marina (strain MBIC 11017),B0CEP1,1059400,1059440,38,-,none
Acaryochloris marina (strain MBIC 11017),B0CEP2,1059442,1059721,277,+,Band_7; InterPro=IPR036013; IPR001107; IPR000163
Acaryochloris marina (strain MBIC 11017),B0CEP3,1059740,1060400,658,-,Ferric_reduct; FAD_binding_8; NAD_binding_6; EF-hand_7; InterPro=IPR039261; IPR013130; IPR013112; IPR013121; IPR002048; IPR017927; IPR050369; IPR011992; IPR017938
Acaryochloris marina (strain MBIC 11017),B0CEP4,1060652,1061146,492,-,none; InterPro=IPR011042
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX3,1063207,1063509,300,+,YitT_membrane; DUF2179; InterPro=IPR015867; IPR003740; IPR019264; IPR051461
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX4,1063548,1063829,280,+,Transketolase_N; InterPro=IPR005474; IPR029061
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX5,1063830,1064142,310,+,Transket_pyr; Transketolase_C; InterPro=IPR009014; IPR005475; IPR033248; IPR051157; IPR029061
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX6,1064265,1064635,368,+,ABC_tran; InterPro=IPR027417; IPR003439; IPR003593
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX7,1064635,1064876,239,+,ABC2_membrane_2; InterPro=IPR032688; IPR051449
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX8,1064878,1065352,472,+,ABC_transp_aux; InterPro=IPR019196
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX9,1065351,1065843,491,+,DUF4340; InterPro=IPR025641
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY0,1065869,1066239,368,+,none; InterPro=IPR038728
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY1,1066266,1066660,392,+,DUF5711; InterPro=IPR043765; IPR011047
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY2,1066666,1066905,238,+,Colicin_V; InterPro=IPR003825
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY3,1066996,1067551,553,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY4,1067574,1068129,554,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
