Genome,ID,Start,Stop,Size (nt),Strand,Function
Acaryochloris marina (strain MBIC 11017),B0CEN2,1056060,1056263,201,-,Peptidase_S26; InterPro=IPR019533; IPR000223; IPR036286
Acaryochloris marina (strain MBIC 11017),B0CEN3,1056287,1056326,38,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN4,1056345,1056906,560,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acaryochloris marina (strain MBIC 11017),B0CEN5,1056930,1057381,449,-,none
Acaryochloris marina (strain MBIC 11017),B0CEN6,1057449,1057876,425,-,none
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY1,1066266,1066660,392,+,DUF5711; InterPro=IPR043765; IPR011047
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY2,1066666,1066905,238,+,Colicin_V; InterPro=IPR003825
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY3,1066996,1067551,553,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY4,1067574,1068129,554,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DBV4,1068232,1068589,355,-,rve; HTH_38; InterPro=IPR036397; IPR053392; IPR001584; IPR025246; IPR051917; IPR012337
